Prefix	Species name
ENSMVI	Manacus vitellinus (Golden-collared manakin)
ENSMZE	Maylandia zebra (Zebra mbuna)
ENSNBR	Neolamprologus brichardi (Lyretail cichlid)
ENSNGA	Nannospalax galili (Upper Galilee mountains blind mole rat)
ENSNLE	Nomascus leucogenys (Gibbon)
ENSNME	Numida meleagris (Helmeted guineafowl)
ENSNML	Neogobius melanostomus (Round goby)
ENSNPE	Nothoprocta perdicaria (Chilean tinamou)
ENSNSU	Notechis scutatus (Mainland tiger snake)
ENSNVI	Neovison vison (American mink)
ENSOAB	Oreochromis aureus (Blue tilapia)
ENSOAN	Ornithorhynchus anatinus (Platypus)
ENSOAR	Ovis aries (Sheep)
ENSOCU	Oryctolagus cuniculus (Rabbit)
ENSODE	Octodon degus (Degu)
ENSOGA	Otolemur garnettii (Bushbaby)
ENSOME	Oryzias melastigma (Indian medaka)
ENSONI	Oreochromis niloticus (Nile tilapia)
ENSOPR	Ochotona princeps (Pika)
ENSORL	Oryzias latipes (Japanese medaka HNI)
ENSORL	Oryzias latipes (Japanese medaka HSOK)
ENSORL	Oryzias latipes (Japanese medaka HdrR)
ENSPAN	Papio anubis (Olive baboon)
ENSPCA	Procavia capensis (Hyrax)
ENSPCI	Phascolarctos cinereus (Koala)
ENSPCL	Phasianus colchicus (Ring-necked pheasant)
ENSPCO	Propithecus coquereli (Coquerel's sifaka)
ENSPCT	Physeter catodon (Sperm whale)
ENSPEM	Peromyscus maniculatus bairdii (Northern American deer mouse)
ENSPFO	Poecilia formosa (Amazon molly)
ENSPKI	Paramormyrops kingsleyae (Paramormyrops kingsleyae)
ENSPLA	Poecilia latipinna (Sailfin molly)
ENSPMA	Petromyzon marinus (Lamprey)
ENSPME	Poecilia mexicana (Shortfin molly)
ENSPMG	Periophthalmus magnuspinnatus (Periophthalmus magnuspinnatus)
ENSPMJ	Parus major (Great Tit)
ENSPMR	Podarcis muralis (Common wall lizard)
ENSPNA	Pygocentrus nattereri (Red-bellied piranha)
ENSPNY	Pundamilia nyererei (Makobe Island cichlid)
ENSPPA	Pan paniscus (Bonobo)
ENSPPR	Panthera pardus (Leopard)
ENSPPY	Pongo abelii (Orangutan)
ENSPRE	Poecilia reticulata (Guppy)
ENSPRN	Parambassis ranga (Indian glassy fish)
ENSPSI	Pelodiscus sinensis (Chinese softshell turtle)
ENSPSM	Prolemur simus (Greater bamboo lemur)
ENSPST	Pavo cristatus (Indian peafowl)
ENSPTE	Piliocolobus tephrosceles (Ugandan red Colobus)
ENSPTI	Panthera tigris altaica (Tiger)
ENSPTR	Pan troglodytes (Chimpanzee)
ENSPTX	Pseudonaja textilis (Eastern brown snake)
ENSPVA	Pteropus vampyrus (Megabat)
ENSPVI	Pogona vitticeps (Central bearded dragon)
ENSRBI	Rhinopithecus bieti (Black snub-nosed monkey)
ENSRFE	Rhinolophus ferrumequinum (Greater horseshoe bat)
ENSRNO	Rattus norvegicus (Rat)
ENSRRO	Rhinopithecus roxellana (Golden snub-nosed monkey)
ENSSAN	Sinocyclocheilus anshuiensis (Blind barbel)
ENSSAR	Sorex araneus (Shrew)
ENSSAU	Sparus aurata (Gilthead seabream)
ENSSBO	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
ENSSCA	Serinus canaria (Common canary)
ENSSCU	Struthio camelus australis (African ostrich)
ENSSDA	Spermophilus dauricus (Daurian ground squirrel)
ENSSDU	Seriola dumerili (Greater amberjack)
ENSSFA	Salarias fasciatus (Jewelled blenny)
ENSSGR	Sinocyclocheilus grahami (Golden-line barbel)
ENSSHA	Sarcophilus harrisii (Tasmanian devil)
ENSSHB	Strigops habroptila (Kakapo)
ENSSLD	Seriola lalandi dorsalis (Yellowtail amberjack)
ENSSMA	Scophthalmus maximus (Turbot)
ENSSMR	Salvator merianae (Argentine black and white tegu)
ENSSOR	Sphaeramia orbicularis (Orbiculate cardinalfish)
ENSSPA	Stegastes partitus (Bicolor damselfish)
ENSSPU	Sphenodon punctatus (Tuatara)
ENSSRH	Sinocyclocheilus rhinocerous (Horned golden-line barbel)
ENSSSA	Salmo salar (Atlantic salmon)
ENSSSC	Sus scrofa (Pig USMARC)
ENSSSC	Sus scrofa (Pig)
ENSSSU	Suricata suricatta (Meerkat)
ENSSTO	Ictidomys tridecemlineatus (Squirrel)
ENSSTU	Salmo trutta (River trout)
ENSTBE	Tupaia belangeri (Tree Shrew)
ENSTGE	Theropithecus gelada (Gelada)
ENSTGU	Taeniopygia guttata (Zebra finch)
ENSTMT	Terrapene carolina triunguis (Three-toed box turtle)
ENSTNI	Tetraodon nigroviridis (Tetraodon)
ENSTRU	Takifugu rubripes (Fugu)
ENSTSY	Carlito syrichta (Tarsier)
ENSTTR	Tursiops truncatus (Dolphin)
ENSUAM	Ursus americanus (American black bear)
ENSUMA	Ursus maritimus (Polar bear)
ENSUPA	Urocitellus parryii (Arctic ground squirrel)
ENSVKK	Varanus komodoensis (Komodo dragon)
ENSVPA	Vicugna pacos (Alpaca)
ENSVUR	Vombatus ursinus (Common wombat)
ENSVVU	Vulpes vulpes (Red fox)
ENSXCO	Xiphophorus couchianus (Monterrey platyfish)
ENSXET	Xenopus tropicalis (Tropical clawed frog)
ENSXMA	Xiphophorus maculatus (Platyfish)
ENSZAL	Zonotrichia albicollis (White-throated sparrow)
MGP_129S1SvImJ_	Mus musculus (Mouse 129S1/SvImJ)
MGP_AJ_	Mus musculus (Mouse A/J)
MGP_AKRJ_	Mus musculus (Mouse AKR/J)
MGP_BALBcJ_	Mus musculus (Mouse BALB/cJ)
MGP_C3HHeJ_	Mus musculus (Mouse C3H/HeJ)
MGP_C57BL6NJ_	Mus musculus (Mouse C57BL/6NJ)
MGP_CAROLIEiJ_	Mus caroli (Ryukyu mouse)
MGP_CASTEiJ_	Mus musculus castaneus (Mouse CAST/EiJ)
MGP_CBAJ_	Mus musculus (Mouse CBA/J)
MGP_DBA2J_	Mus musculus (Mouse DBA/2J)
MGP_FVBNJ_	Mus musculus (Mouse FVB/NJ)
MGP_LPJ_	Mus musculus (Mouse LP/J)
MGP_NODShiLtJ_	Mus musculus (Mouse NOD/ShiLtJ)
MGP_NZOHlLtJ_	Mus musculus (Mouse NZO/HlLtJ)
MGP_PWKPhJ_	Mus musculus musculus (Mouse PWK/PhJ)
MGP_PahariEiJ_	Mus pahari (Shrew mouse)
MGP_SPRETEiJ_	Mus spretus (Algerian mouse)
MGP_WSBEiJ_	Mus musculus domesticus (Mouse WSB/EiJ)
ENSCPB	Chrysemys picta bellii (Painted turtle)
ENSCPI	Chrysolophus pictus (Golden pheasant)
ENSSFO	Scleropages formosus (Asian bonytongue)
LAMPREY_MADBUB	Petromyzon marinus (Lamprey)
BFLO_MADBUB	Branchiostoma floridae (lancelet)
CINT_MADBUB	Ciona intestinales (sea vase)
SPUR_MADBUB	Strongylocentrotus purpuratus (sea urchin)
SMIM_MADBUB	Stegodyphus mimosarum (African velvet spider)
