Prefix	Species name
ENSPPR	Panthera pardus (Leopard)
ENSSHB	Strigops habroptila (Kakapo)
ENSFAL	Ficedula albicollis (Flycatcher)
ENSNBR	Neolamprologus brichardi (Lyretail cichlid)
ENSLCO	Lepidothrix coronata (Blue-crowned manakin)
ENSCCA	Cebus capucinus imitator (Capuchin)
ENSUAM	Ursus americanus (American black bear)
ENSECA	Equus caballus (Horse)
MGP_WSBEiJ_	Mus musculus domesticus (Mouse WSB/EiJ)
ENSMAL	Monopterus albus (Swamp eel)
ENSCSA	Chlorocebus sabaeus (Vervet-AGM)
ENSSBO	Saimiri boliviensis boliviensis (Bolivian squirrel monkey)
ENSATE	Anabas testudineus (Climbing perch)
ENSMUG	Meriones unguiculatus (Mongolian gerbil)
ENSDNV	Dromaius novaehollandiae (Emu)
ENSVVU	Vulpes vulpes (Red fox)
ENSSSC	Sus scrofa (Pig - Pietrain)
ENSPKI	Paramormyrops kingsleyae (Paramormyrops kingsleyae)
ENSSTU	Salmo trutta (River trout)
ENSOCU	Oryctolagus cuniculus (Rabbit)
ENSACU	Athene cunicularia (Burrowing owl)
ENSPMA	Petromyzon marinus (Lamprey)
ENSAOC	Amphiprion ocellaris (Clown anemonefish)
ENSMMM	Marmota marmota marmota (Alpine marmot)
ENSDAR	Danio rerio (Zebrafish)
ENSCGO	Cottoperca gobio (Channel bull blenny)
ENSCCN	Castor canadensis (American beaver)
ENSENL	Echeneis naucrates (Live sharksucker)
ENSTRU	Takifugu rubripes (Fugu)
ENSDOR	Dipodomys ordii (Kangaroo rat)
ENSFHE	Fundulus heteroclitus (Mummichog)
ENSMSI	Mus spicilegus (Steppe mouse)
ENSSSC	Sus scrofa (Pig - Hampshire)
ENSCGR	Cricetulus griseus (Chinese hamster CHOK1GS)
ENSDCD	Denticeps clupeoides (Denticle herring)
ENSPCL	Phasianus colchicus (Ring-necked pheasant)
ENSTTR	Tursiops truncatus (Dolphin)
ENSCVA	Cyprinodon variegatus (Sheepshead minnow)
ENSPPY	Pongo abelii (Orangutan)
MGP_NODShiLtJ_	Mus musculus (Mouse NOD/ShiLtJ)
ENSEEE	Electrophorus electricus (Electric eel)
ENSLAF	Loxodonta africana (Elephant)
MGP_PahariEiJ_	Mus pahari (Shrew mouse)
ENSTSY	Carlito syrichta (Tarsier)
ENSCGR	Cricetulus griseus (Chinese hamster PICR)
ENSVPA	Vicugna pacos (Alpaca)
ENSBBB	Bison bison bison (American bison)
ENSAPL	Anas platyrhynchos platyrhynchos (Duck)
ENSNGA	Nannospalax galili (Upper Galilee mountains blind mole rat)
ENSZAL	Zonotrichia albicollis (White-throated sparrow)
ENSSTO	Ictidomys tridecemlineatus (Squirrel)
MGP_CAROLIEiJ_	Mus caroli (Ryukyu mouse)
ENSXCO	Xiphophorus couchianus (Monterrey platyfish)
ENSHBU	Haplochromis burtoni (Burton's mouthbrooder)
ENSPAN	Papio anubis (Olive baboon)
MGP_LPJ_	Mus musculus (Mouse LP/J)
ENSMAU	Mesocricetus auratus (Golden Hamster)
ENSSFA	Salarias fasciatus (Jewelled blenny)
ENSUMA	Ursus maritimus (Polar bear)
ENSOAN	Ornithorhynchus anatinus (Platypus)
ENSSPU	Sphenodon punctatus (Tuatara)
ENSACL	Astatotilapia calliptera (Eastern happy)
ENSAMX	Astyanax mexicanus (Pachon cavefish)
ENSCCR	Cyprinus carpio (Common carp german mirror)
ENSPMR	Podarcis muralis (Common wall lizard)
ENSSSC	Sus scrofa (Pig - Berkshire)
ENSKMA	Kryptolebias marmoratus (Mangrove rivulus)
ENSBIX	Bos indicus x Bos taurus (Hybrid - Bos Taurus)
ENSLCR	Larimichthys crocea (Large yellow croaker)
ENSCAT	Cercocebus atys (Sooty mangabey)
ENSCCR	Cyprinus carpio (Common carp hebao red)
ENSNSU	Notechis scutatus (Mainland tiger snake)
ENSSDU	Seriola dumerili (Greater amberjack)
ENSCGR	Cricetulus griseus (Chinese hamster CriGri)
ENSACI	Amphilophus citrinellus (Midas cichlid)
ENSMEU	Notamacropus eugenii (Wallaby)
ENSXET	Xenopus tropicalis (Tropical clawed frog)
ENSMZE	Maylandia zebra (Zebra mbuna)
ENSFDA	Fukomys damarensis (Damara mole rat)
ENSXMA	Xiphophorus maculatus (Platyfish)
ENSDNO	Dasypus novemcinctus (Armadillo)
ENSTNI	Tetraodon nigroviridis (Tetraodon)
ENSOAR	Ovis aries (Sheep)
ENSCAP	Cavia aperea (Brazilian guinea pig)
ENSCEL	Caenorhabditis elegans (Caenorhabditis elegans)
